order_id,branch,region,order_date,dispatch_date,delivery_date,delivery_status,order_value,shipping_cost,items_count,source_file,processing_time_days,delivery_time_days,total_fulfillment_days,on_time,late_flag,returned_flag,cost_impact
EAS-1013,East_A,East,2025-10-12,2025-10-12,2025-10-12,Delivered,724.3,42.27,4,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1014,East_A,East,2025-10-03,2025-10-06,2025-10-11,Delivered,924.23,64.71,5,East_A_orders.csv,3,5,8,False,True,False,18.4846
EAS-1015,East_A,East,2025-10-12,2025-10-17,2025-10-23,Delivered,560.56,20.99,3,East_A_orders.csv,5,6,11,False,True,False,11.2112
EAS-1016,East_A,East,2025-10-03,2025-10-03,2025-10-03,Delivered,1899.66,142.15,4,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1017,East_A,East,2025-10-03,2025-10-07,2025-10-12,Delivered,3109.43,124.53,5,East_A_orders.csv,4,5,9,False,True,False,62.1886
EAS-1018,East_A,East,2025-10-03,2025-10-08,2025-10-16,Delivered,786.81,41.43,5,East_A_orders.csv,5,8,13,False,True,False,15.736199999999998
EAS-1019,East_A,East,2025-10-03,2025-10-03,2025-10-04,Delivered,2531.98,111.96,1,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1020,East_A,East,2025-10-11,2025-10-13,2025-10-18,Delivered,1431.37,46.9,5,East_A_orders.csv,2,5,7,False,True,False,28.627399999999998
EAS-1021,East_A,East,2025-10-01,2025-10-02,2025-10-05,Delivered,2760.1,193.13,1,East_A_orders.csv,1,3,4,True,False,False,0.0
EAS-1022,East_A,East,2025-10-02,2025-10-02,2025-10-05,Delivered,1342.72,98.05,1,East_A_orders.csv,0,3,3,True,False,False,0.0
EAS-1023,East_A,East,2025-10-14,2025-10-18,2025-10-24,Delivered,1272.13,85.51,3,East_A_orders.csv,4,6,10,False,True,False,25.442600000000002
EAS-1024,East_A,East,2025-10-02,2025-10-05,2025-10-12,In Transit,4662.34,314.07,2,East_A_orders.csv,3,7,10,False,True,False,93.24680000000001
EAS-1025,East_A,East,2025-10-05,2025-10-11,2025-10-20,Delivered,514.78,13.98,3,East_A_orders.csv,6,9,15,False,True,False,10.2956
EAS-1026,East_A,East,2025-10-04,2025-10-04,2025-10-05,Delivered,4151.04,289.93,1,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1027,East_A,East,2025-10-02,2025-10-04,2025-10-06,In Transit,917.47,20.92,4,East_A_orders.csv,2,2,4,True,False,False,0.0
EAS-1028,East_A,East,2025-10-02,2025-10-04,2025-10-09,Delivered,2906.15,145.41,1,East_A_orders.csv,2,5,7,False,True,False,58.123000000000005
EAS-1029,East_A,East,2025-10-05,2025-10-05,2025-10-06,Delivered,2690.06,184.64,3,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1030,East_A,East,2025-10-05,2025-10-05,2025-10-05,Delivered,1775.91,124.2,1,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1031,East_A,East,2025-10-09,2025-10-10,2025-10-12,Delivered,825.69,53.49,4,East_A_orders.csv,1,2,3,True,False,False,0.0
EAS-1032,East_A,East,2025-10-05,2025-10-07,2025-10-11,Delivered,3391.72,148.08,1,East_A_orders.csv,2,4,6,False,True,False,67.8344
EAS-1033,East_A,East,2025-10-06,2025-10-07,2025-10-13,Delivered,1188.2,82.55,1,East_A_orders.csv,1,6,7,False,True,False,23.764000000000003
EAS-1034,East_A,East,2025-10-01,2025-10-03,2025-10-06,Delivered,4484.33,121.32,3,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1035,East_A,East,2025-10-09,2025-10-09,2025-10-09,Delivered,1592.42,48.67,2,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1036,East_A,East,2025-10-05,2025-10-06,2025-10-10,Delivered,1020.73,58.68,1,East_A_orders.csv,1,4,5,True,False,False,0.0
EAS-1037,East_A,East,2025-10-02,2025-10-02,2025-10-02,Returned,2046.22,71.04,4,East_A_orders.csv,0,0,0,True,False,True,1227.732
EAS-1038,East_A,East,2025-10-06,2025-10-06,2025-10-08,Delivered,1801.71,109.66,4,East_A_orders.csv,0,2,2,True,False,False,0.0
EAS-1039,East_A,East,2025-10-01,2025-10-01,2025-10-02,Delivered,300.66,15.53,3,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1040,East_A,East,2025-10-10,2025-10-13,2025-10-18,In Transit,326.68,13.51,5,East_A_orders.csv,3,5,8,False,True,False,6.5336
EAS-1041,East_A,East,2025-10-01,2025-10-03,2025-10-10,Delivered,1665.99,92.48,2,East_A_orders.csv,2,7,9,False,True,False,33.3198
EAS-1042,East_A,East,2025-10-01,2025-10-04,2025-10-10,Delivered,3379.99,164.33,3,East_A_orders.csv,3,6,9,False,True,False,67.5998
EAS-1043,East_A,East,2025-10-10,2025-10-13,2025-10-18,Delivered,1651.33,99.53,3,East_A_orders.csv,3,5,8,False,True,False,33.0266
EAS-1044,East_A,East,2025-10-06,2025-10-09,2025-10-14,Delivered,3871.88,207.85,3,East_A_orders.csv,3,5,8,False,True,False,77.4376
EAS-1045,East_A,East,2025-10-22,2025-10-25,2025-10-30,Delivered,1528.78,55.06,3,East_A_orders.csv,3,5,8,False,True,False,30.5756
EAS-1046,East_A,East,2025-10-01,2025-10-05,2025-10-15,Delivered,2546.29,92.52,3,East_A_orders.csv,4,10,14,False,True,False,50.9258
EAS-1047,East_A,East,2025-10-02,2025-10-05,2025-10-09,Delivered,4417.42,156.38,4,East_A_orders.csv,3,4,7,False,True,False,88.3484
EAS-1048,East_A,East,2025-10-05,2025-10-06,2025-10-07,Delivered,4498.05,161.39,5,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1049,East_A,East,2025-10-29,2025-11-01,2025-11-08,Delivered,340.89,7.45,4,East_A_orders.csv,3,7,10,False,True,False,6.8178
EAS-1050,East_A,East,2025-10-04,2025-10-04,2025-10-04,Delivered,2951.14,68.82,3,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1051,East_A,East,2025-10-06,2025-10-08,2025-10-10,Delivered,2096.17,64.24,5,East_A_orders.csv,2,2,4,True,False,False,0.0
EAS-1052,East_A,East,2025-10-14,2025-10-15,2025-10-16,Delivered,2367.17,161.89,4,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1053,East_A,East,2025-10-17,2025-10-17,2025-10-17,Delivered,2862.95,145.97,3,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1054,East_A,East,2025-10-06,2025-10-08,2025-10-10,Delivered,3706.17,141.11,2,East_A_orders.csv,2,2,4,True,False,False,0.0
EAS-1055,East_A,East,2025-10-05,2025-10-08,2025-10-11,Delivered,3345.62,98.69,1,East_A_orders.csv,3,3,6,False,True,False,66.9124
EAS-1056,East_A,East,2025-10-09,2025-10-11,2025-10-16,Delivered,3381.45,262.68,2,East_A_orders.csv,2,5,7,False,True,False,67.62899999999999
EAS-1057,East_A,East,2025-10-12,2025-10-14,2025-10-16,Delivered,2018.53,126.76,1,East_A_orders.csv,2,2,4,True,False,False,0.0
EAS-1058,East_A,East,2025-10-21,2025-10-25,2025-10-31,Delivered,3275.36,132.08,5,East_A_orders.csv,4,6,10,False,True,False,65.5072
EAS-1059,East_A,East,2025-10-10,2025-10-12,2025-10-15,Delivered,3772.63,218.18,3,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1060,East_A,East,2025-10-03,2025-10-05,2025-10-10,Delivered,3228.43,120.13,3,East_A_orders.csv,2,5,7,False,True,False,64.5686
EAS-1061,East_A,East,2025-10-10,2025-10-16,2025-10-24,Delivered,1391.67,107.55,2,East_A_orders.csv,6,8,14,False,True,False,27.8334
EAS-1062,East_A,East,2025-10-06,2025-10-06,2025-10-06,Delivered,702.96,55.66,5,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1063,East_A,East,2025-10-02,2025-10-04,2025-10-06,Delivered,1272.19,57.14,3,East_A_orders.csv,2,2,4,True,False,False,0.0
EAS-1064,East_A,East,2025-10-01,2025-10-01,2025-10-02,Delivered,1342.12,102.58,5,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1065,East_A,East,2025-10-01,2025-10-03,2025-10-07,Delivered,3604.81,192.51,3,East_A_orders.csv,2,4,6,False,True,False,72.0962
EAS-1066,East_A,East,2025-10-10,2025-10-11,2025-10-14,Delivered,565.78,18.12,2,East_A_orders.csv,1,3,4,True,False,False,0.0
EAS-1067,East_A,East,2025-10-09,2025-10-11,2025-10-13,Delivered,1116.6,83.02,1,East_A_orders.csv,2,2,4,True,False,False,0.0
EAS-1068,East_A,East,2025-10-04,2025-10-04,2025-10-05,Delivered,745.54,45.34,5,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1069,East_A,East,2025-10-05,2025-10-06,2025-10-11,Delivered,166.84,6.37,1,East_A_orders.csv,1,5,6,False,True,False,3.3368
EAS-1070,East_A,East,2025-10-02,2025-10-04,2025-10-10,Delivered,2897.86,128.88,1,East_A_orders.csv,2,6,8,False,True,False,57.9572
EAS-1071,East_A,East,2025-10-11,2025-10-11,2025-10-11,Delivered,2916.71,128.73,4,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1072,East_A,East,2025-10-19,2025-10-19,2025-10-19,Delivered,141.41,9.95,3,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1073,East_A,East,2025-10-07,2025-10-11,2025-10-15,Delivered,175.69,8.11,4,East_A_orders.csv,4,4,8,False,True,False,3.5138
EAS-1074,East_A,East,2025-10-03,2025-10-08,2025-10-13,Delivered,2611.66,140.64,5,East_A_orders.csv,5,5,10,False,True,False,52.2332
EAS-1075,East_A,East,2025-10-09,2025-10-10,2025-10-11,Delivered,2060.76,59.82,1,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1076,East_A,East,2025-10-02,2025-10-04,2025-10-07,Delivered,4492.87,354.76,4,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1077,East_A,East,2025-10-02,2025-10-04,2025-10-09,Delivered,1418.69,96.74,4,East_A_orders.csv,2,5,7,False,True,False,28.373800000000003
EAS-1078,East_A,East,2025-10-01,2025-10-01,2025-10-01,Delivered,529.12,36.16,3,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1079,East_A,East,2025-10-04,2025-10-07,2025-10-10,Delivered,657.43,29.36,1,East_A_orders.csv,3,3,6,False,True,False,13.1486
EAS-1080,East_A,East,2025-10-03,2025-10-03,2025-10-03,Delivered,618.42,35.69,1,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1081,East_A,East,2025-10-01,2025-10-01,2025-10-05,In Transit,283.03,13.22,3,East_A_orders.csv,0,4,4,True,False,False,0.0
EAS-1082,East_A,East,2025-10-04,2025-10-04,2025-10-08,Delivered,1881.22,109.98,1,East_A_orders.csv,0,4,4,True,False,False,0.0
EAS-1083,East_A,East,2025-10-02,2025-10-05,2025-10-12,Delivered,939.85,23.25,3,East_A_orders.csv,3,7,10,False,True,False,18.797
EAS-1084,East_A,East,2025-10-09,2025-10-11,2025-10-17,Delivered,4911.34,362.82,4,East_A_orders.csv,2,6,8,False,True,False,98.22680000000001
EAS-1085,East_A,East,2025-10-01,2025-10-04,2025-10-08,In Transit,3221.53,95.67,3,East_A_orders.csv,3,4,7,False,True,False,64.4306
EAS-1086,East_A,East,2025-10-01,2025-10-02,2025-10-06,Delivered,190.02,6.88,5,East_A_orders.csv,1,4,5,True,False,False,0.0
EAS-1087,East_A,East,2025-10-02,2025-10-02,2025-10-05,Delivered,3931.81,263.58,3,East_A_orders.csv,0,3,3,True,False,False,0.0
EAS-1088,East_A,East,2025-10-02,2025-10-02,2025-10-04,Delivered,4575.17,258.57,2,East_A_orders.csv,0,2,2,True,False,False,0.0
EAS-1089,East_A,East,2025-10-01,2025-10-01,2025-10-01,Delivered,4551.34,119.56,2,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1090,East_A,East,2025-10-06,2025-10-06,2025-10-09,Delivered,1361.09,83.86,3,East_A_orders.csv,0,3,3,True,False,False,0.0
EAS-1091,East_A,East,2025-10-01,2025-10-04,2025-10-09,Delivered,2658.42,117.22,2,East_A_orders.csv,3,5,8,False,True,False,53.168400000000005
EAS-1092,East_A,East,2025-10-09,2025-10-12,2025-10-15,Delivered,1324.28,53.22,2,East_A_orders.csv,3,3,6,False,True,False,26.4856
EAS-1093,East_A,East,2025-10-03,2025-10-04,2025-10-05,Delivered,1215.4,62.55,3,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1094,East_A,East,2025-10-03,2025-10-03,2025-10-06,Delivered,3992.48,103.56,2,East_A_orders.csv,0,3,3,True,False,False,0.0
EAS-1095,East_A,East,2025-10-02,2025-10-04,2025-10-10,Delivered,2339.0,179.0,2,East_A_orders.csv,2,6,8,False,True,False,46.78
EAS-1096,East_A,East,2025-10-07,2025-10-07,2025-10-08,Delivered,252.76,18.25,3,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1097,East_A,East,2025-10-03,2025-10-05,2025-10-07,Returned,3297.18,219.03,3,East_A_orders.csv,2,2,4,True,False,True,1978.3079999999998
EAS-1098,East_A,East,2025-10-03,2025-10-04,2025-10-05,Delivered,3195.7,113.21,3,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1099,East_A,East,2025-10-14,2025-10-17,2025-10-20,Delivered,1280.3,35.58,1,East_A_orders.csv,3,3,6,False,True,False,25.605999999999998
EAS-1100,East_A,East,2025-10-07,2025-10-10,2025-10-16,Delivered,3086.69,170.11,2,East_A_orders.csv,3,6,9,False,True,False,61.7338
EAS-1101,East_A,East,2025-10-04,2025-10-04,2025-10-05,Delivered,617.02,37.63,3,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1102,East_A,East,2025-10-16,2025-10-22,2025-10-28,In Transit,2708.29,201.28,4,East_A_orders.csv,6,6,12,False,True,False,54.1658
EAS-1103,East_A,East,2025-10-03,2025-10-04,2025-10-07,Delivered,4055.99,266.8,1,East_A_orders.csv,1,3,4,True,False,False,0.0
EAS-1104,East_A,East,2025-10-01,2025-10-03,2025-10-09,Delivered,2524.66,162.94,5,East_A_orders.csv,2,6,8,False,True,False,50.4932
EAS-1105,East_A,East,2025-10-06,2025-10-08,2025-10-11,Delivered,2465.37,98.27,2,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1106,East_A,East,2025-10-07,2025-10-07,2025-10-07,Delivered,1520.94,87.81,3,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1107,East_A,East,2025-10-21,2025-10-22,2025-10-24,Delivered,1385.29,97.43,4,East_A_orders.csv,1,2,3,True,False,False,0.0
EAS-1108,East_A,East,2025-10-02,2025-10-05,2025-10-12,In Transit,1930.67,117.55,5,East_A_orders.csv,3,7,10,False,True,False,38.613400000000006
EAS-1109,East_A,East,2025-10-02,2025-10-07,2025-10-15,Delivered,4389.32,197.21,5,East_A_orders.csv,5,8,13,False,True,False,87.7864
EAS-1110,East_A,East,2025-10-06,2025-10-08,2025-10-11,Delivered,1588.25,119.54,1,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1111,East_A,East,2025-10-02,2025-10-02,2025-10-05,Delivered,617.43,38.52,3,East_A_orders.csv,0,3,3,True,False,False,0.0
EAS-1112,East_A,East,2025-10-07,2025-10-07,2025-10-07,Delivered,4817.65,132.96,1,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1113,East_A,East,2025-10-04,2025-10-04,2025-10-04,Delivered,3459.14,159.72,3,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1114,East_A,East,2025-10-05,2025-10-05,2025-10-08,Delivered,3330.82,248.42,1,East_A_orders.csv,0,3,3,True,False,False,0.0
EAS-1115,East_A,East,2025-10-02,2025-10-03,2025-10-04,Returned,2648.79,110.96,4,East_A_orders.csv,1,1,2,True,False,True,1589.274
EAS-1116,East_A,East,2025-10-01,2025-10-01,2025-10-03,Delivered,1818.61,119.05,5,East_A_orders.csv,0,2,2,True,False,False,0.0
EAS-1117,East_A,East,2025-10-02,2025-10-02,2025-10-04,Delivered,2096.29,159.77,5,East_A_orders.csv,0,2,2,True,False,False,0.0
EAS-1118,East_A,East,2025-10-03,2025-10-04,2025-10-09,Returned,2391.19,173.35,4,East_A_orders.csv,1,5,6,False,True,True,1482.5378
EAS-1119,East_A,East,2025-10-20,2025-10-20,2025-10-24,Delivered,3474.36,273.5,5,East_A_orders.csv,0,4,4,True,False,False,0.0
EAS-1120,East_A,East,2025-10-07,2025-10-08,2025-10-11,Delivered,4499.2,184.44,3,East_A_orders.csv,1,3,4,True,False,False,0.0
EAS-1121,East_A,East,2025-10-05,2025-10-07,2025-10-09,Delivered,644.07,29.99,5,East_A_orders.csv,2,2,4,True,False,False,0.0
EAS-1122,East_A,East,2025-10-07,2025-10-10,2025-10-17,Delivered,3579.85,217.08,2,East_A_orders.csv,3,7,10,False,True,False,71.597
EAS-1123,East_A,East,2025-10-03,2025-10-07,2025-10-11,Delivered,2995.27,224.02,4,East_A_orders.csv,4,4,8,False,True,False,59.9054
EAS-1124,East_A,East,2025-10-08,2025-10-11,2025-10-17,Delivered,1311.31,104.6,1,East_A_orders.csv,3,6,9,False,True,False,26.2262
EAS-1125,East_A,East,2025-10-20,2025-10-24,2025-10-30,Delivered,998.94,65.43,4,East_A_orders.csv,4,6,10,False,True,False,19.978800000000003
EAS-1126,East_A,East,2025-10-02,2025-10-07,2025-10-17,Delivered,4096.76,97.35,2,East_A_orders.csv,5,10,15,False,True,False,81.93520000000001
EAS-1127,East_A,East,2025-10-01,2025-10-03,2025-10-05,Delivered,3736.78,189.02,1,East_A_orders.csv,2,2,4,True,False,False,0.0
EAS-1128,East_A,East,2025-10-03,2025-10-06,2025-10-09,Delivered,2262.24,47.68,5,East_A_orders.csv,3,3,6,False,True,False,45.2448
EAS-1129,East_A,East,2025-10-12,2025-10-12,2025-10-12,Delivered,557.16,28.56,4,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1130,East_A,East,2025-10-10,2025-10-15,2025-10-24,Delivered,4159.8,279.94,1,East_A_orders.csv,5,9,14,False,True,False,83.19600000000001
EAS-1131,East_A,East,2025-10-04,2025-10-05,2025-10-07,Delivered,3844.85,306.01,3,East_A_orders.csv,1,2,3,True,False,False,0.0
EAS-1132,East_A,East,2025-10-04,2025-10-04,2025-10-05,Delivered,3065.0,134.08,3,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1133,East_A,East,2025-10-11,2025-10-14,2025-10-19,Delivered,741.56,45.81,1,East_A_orders.csv,3,5,8,False,True,False,14.831199999999999
EAS-1134,East_A,East,2025-10-03,2025-10-04,2025-10-09,Delivered,3135.28,213.78,5,East_A_orders.csv,1,5,6,False,True,False,62.705600000000004
EAS-1135,East_A,East,2025-10-05,2025-10-05,2025-10-05,Delivered,1743.16,98.45,2,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1136,East_A,East,2025-10-09,2025-10-09,2025-10-11,Delivered,4843.56,315.7,4,East_A_orders.csv,0,2,2,True,False,False,0.0
EAS-1137,East_A,East,2025-10-11,2025-10-12,2025-10-13,In Transit,4187.28,206.78,1,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1138,East_A,East,2025-10-02,2025-10-02,2025-10-02,Delivered,353.26,10.43,1,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1139,East_A,East,2025-10-03,2025-10-06,2025-10-13,In Transit,4328.56,203.14,3,East_A_orders.csv,3,7,10,False,True,False,86.5712
EAS-1140,East_A,East,2025-10-01,2025-10-01,2025-10-01,Delivered,2945.61,127.51,2,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1141,East_A,East,2025-10-02,2025-10-02,2025-10-04,Delivered,1687.5,93.2,4,East_A_orders.csv,0,2,2,True,False,False,0.0
EAS-1142,East_A,East,2025-10-09,2025-10-14,2025-10-22,Delivered,1528.27,73.7,5,East_A_orders.csv,5,8,13,False,True,False,30.5654
EAS-1143,East_A,East,2025-10-01,2025-10-04,2025-10-10,Delivered,2304.57,164.78,5,East_A_orders.csv,3,6,9,False,True,False,46.09140000000001
EAS-1144,East_A,East,2025-10-04,2025-10-06,2025-10-11,Delivered,2326.97,75.76,5,East_A_orders.csv,2,5,7,False,True,False,46.53939999999999
EAS-1145,East_A,East,2025-10-02,2025-10-02,2025-10-04,Delivered,4905.18,201.19,3,East_A_orders.csv,0,2,2,True,False,False,0.0
EAS-1146,East_A,East,2025-10-01,2025-10-06,2025-10-13,Delivered,2901.96,102.2,2,East_A_orders.csv,5,7,12,False,True,False,58.0392
EAS-1147,East_A,East,2025-10-01,2025-10-02,2025-10-03,Delivered,4930.71,189.92,1,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1148,East_A,East,2025-10-01,2025-10-02,2025-10-03,Delivered,1040.0,41.63,3,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1149,East_A,East,2025-10-06,2025-10-08,2025-10-11,Delivered,2760.34,98.28,4,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1150,East_A,East,2025-10-06,2025-10-10,2025-10-16,Delivered,3949.77,238.61,1,East_A_orders.csv,4,6,10,False,True,False,78.9954
EAS-1151,East_A,East,2025-10-06,2025-10-09,2025-10-13,Delivered,3249.88,139.48,1,East_A_orders.csv,3,4,7,False,True,False,64.9976
EAS-1152,East_A,East,2025-10-02,2025-10-05,2025-10-12,Delivered,2710.16,158.07,5,East_A_orders.csv,3,7,10,False,True,False,54.203199999999995
EAS-1153,East_A,East,2025-10-02,2025-10-05,2025-10-08,Delivered,174.8,5.8,2,East_A_orders.csv,3,3,6,False,True,False,3.4960000000000004
EAS-1154,East_A,East,2025-10-01,2025-10-04,2025-10-11,Delivered,3931.57,115.35,5,East_A_orders.csv,3,7,10,False,True,False,78.6314
EAS-1155,East_A,East,2025-10-01,2025-10-03,2025-10-06,Returned,3630.87,239.44,5,East_A_orders.csv,2,3,5,True,False,True,2178.522
EAS-1156,East_A,East,2025-10-01,2025-10-03,2025-10-07,Returned,4350.64,162.07,2,East_A_orders.csv,2,4,6,False,True,True,2697.3968
EAS-1157,East_A,East,2025-10-26,2025-10-26,2025-10-28,Delivered,2180.01,84.06,2,East_A_orders.csv,0,2,2,True,False,False,0.0
EAS-1158,East_A,East,2025-10-06,2025-10-10,2025-10-17,Delivered,1864.79,145.63,1,East_A_orders.csv,4,7,11,False,True,False,37.2958
EAS-1159,East_A,East,2025-10-02,2025-10-06,2025-10-13,Delivered,1664.65,58.48,1,East_A_orders.csv,4,7,11,False,True,False,33.293
EAS-1160,East_A,East,2025-10-04,2025-10-04,2025-10-04,Delivered,2496.76,168.86,5,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1161,East_A,East,2025-10-03,2025-10-04,2025-10-07,Delivered,3928.65,238.87,1,East_A_orders.csv,1,3,4,True,False,False,0.0
EAS-1162,East_A,East,2025-10-13,2025-10-15,2025-10-18,Delivered,2752.54,108.54,5,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1163,East_A,East,2025-10-02,2025-10-06,2025-10-13,Delivered,4310.73,240.06,4,East_A_orders.csv,4,7,11,False,True,False,86.21459999999999
EAS-1164,East_A,East,2025-10-04,2025-10-05,2025-10-10,Delivered,568.88,42.59,5,East_A_orders.csv,1,5,6,False,True,False,11.3776
EAS-1165,East_A,East,2025-10-03,2025-10-05,2025-10-09,Delivered,1512.19,53.56,1,East_A_orders.csv,2,4,6,False,True,False,30.2438
EAS-1166,East_A,East,2025-10-01,2025-10-03,2025-10-08,Delivered,2477.88,130.14,2,East_A_orders.csv,2,5,7,False,True,False,49.5576
EAS-1167,East_A,East,2025-10-04,2025-10-04,2025-10-04,In Transit,2275.54,69.36,2,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1168,East_A,East,2025-10-02,2025-10-06,2025-10-10,Delivered,1157.44,34.17,3,East_A_orders.csv,4,4,8,False,True,False,23.1488
EAS-1169,East_A,East,2025-10-11,2025-10-12,2025-10-13,Delivered,4380.52,288.1,5,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1170,East_A,East,2025-10-04,2025-10-04,2025-10-05,Delivered,3046.8,180.76,5,East_A_orders.csv,0,1,1,True,False,False,0.0
EAS-1171,East_A,East,2025-10-04,2025-10-04,2025-10-06,Delivered,3311.38,149.35,2,East_A_orders.csv,0,2,2,True,False,False,0.0
EAS-1172,East_A,East,2025-10-10,2025-10-11,2025-10-12,Delivered,3468.58,121.37,1,East_A_orders.csv,1,1,2,True,False,False,0.0
EAS-1173,East_A,East,2025-10-01,2025-10-01,2025-10-01,Delivered,2901.02,215.18,4,East_A_orders.csv,0,0,0,True,False,False,0.0
EAS-1174,East_A,East,2025-10-08,2025-10-14,2025-10-22,Delivered,4238.16,232.85,3,East_A_orders.csv,6,8,14,False,True,False,84.7632
EAS-1175,East_A,East,2025-10-10,2025-10-12,2025-10-15,Delivered,4325.44,160.07,3,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1176,East_A,East,2025-10-04,2025-10-06,2025-10-09,Delivered,4894.38,335.76,3,East_A_orders.csv,2,3,5,True,False,False,0.0
EAS-1177,East_A,East,2025-10-15,2025-10-19,2025-10-25,Delivered,1955.35,88.16,4,East_A_orders.csv,4,6,10,False,True,False,39.107
EAS-1178,East_A,East,2025-10-02,2025-10-02,2025-10-07,Delivered,546.57,34.5,4,East_A_orders.csv,0,5,5,True,False,False,0.0
EAS-1179,East_A,East,2025-10-06,2025-10-06,2025-10-07,Delivered,2446.96,180.63,2,East_A_orders.csv,0,1,1,True,False,False,0.0
